microcanonical number of states:
    E, kcal/mol          rxn_2          rxn_4          rxn_7          rxn_1          rxn_5
            114    3.42228e+29     1.3171e+11    6.68938e+10
            115    4.25505e+29    1.37677e+11    7.10676e+10
            116    5.28343e+29    1.43823e+11    7.54328e+10
            117    6.55172e+29     1.5015e+11    7.99948e+10
            118    8.11393e+29    1.56662e+11    8.47589e+10
            119    1.00358e+30    1.63358e+11    8.97305e+10
            120    1.23971e+30    1.70243e+11    9.49151e+10
            121    1.52949e+30    1.77317e+11    1.00318e+11
            122    1.88469e+30    1.84583e+11    1.05945e+11
            123    2.31954e+30    1.92043e+11    1.11801e+11
            124    2.85129e+30    1.99699e+11    1.17892e+11
            125    3.50079e+30    2.07551e+11    1.24223e+11
            126     4.2932e+30    2.15603e+11      1.308e+11
            127    5.25886e+30    2.23856e+11    1.37629e+11
            128    6.43437e+30    2.32312e+11    1.44714e+11
            129    7.86373e+30    2.40972e+11    1.52061e+11
            130    9.59987e+30    2.49839e+11    1.59677e+11
            131    1.17064e+31    2.58912e+11    1.67566e+11
            132    1.42596e+31    2.68195e+11    1.75734e+11
            133    1.73508e+31    2.77689e+11    1.84186e+11
            134    2.10898e+31    2.87395e+11    1.92928e+11
            135    2.56074e+31    2.97314e+11    2.01966e+11
            136    3.10603e+31    3.07448e+11    2.11304e+11
            137    3.76357e+31    3.17799e+11    2.20949e+11
            138    4.55565e+31    3.28366e+11    2.30906e+11
            139    5.50889e+31    3.39153e+11     2.4118e+11
            140    6.65496e+31    3.50159e+11    2.51777e+11
            141    8.03153e+31    3.61387e+11    2.62702e+11
            142    9.68341e+31    3.72836e+11    2.73961e+11
            143    1.16638e+32    3.84509e+11    2.85558e+11
            144    1.40358e+32    3.96406e+11      2.975e+11
            145    1.68743e+32    4.08528e+11    3.09791e+11
            146    2.02679e+32    4.20877e+11    3.22437e+11
            147    2.43216e+32    4.33452e+11    3.35443e+11
            148    2.91593e+32    4.46255e+11    3.48815e+11
            149    3.49278e+32    4.59287e+11    3.62557e+11
            150    4.18001e+32    4.72549e+11    3.76675e+11
            151    4.99802e+32     4.8604e+11    3.91173e+11
            152    5.97089e+32    4.99763e+11    4.06057e+11
            153    7.12695e+32    5.13717e+11    4.21333e+11
            154    8.49955e+32    5.27903e+11    4.37004e+11
            155    1.01279e+33    5.42322e+11    4.53076e+11
            156    1.20581e+33    5.56974e+11    4.69555e+11
            157    1.43442e+33     5.7186e+11    4.86444e+11
            158    1.70497e+33     5.8698e+11    5.03749e+11
            159    2.02489e+33    6.02335e+11    5.21474e+11
            160     2.4029e+33    6.17925e+11    5.39625e+11
            161    2.84921e+33     6.3375e+11    5.58205e+11
            162    3.37573e+33    6.49811e+11    5.77221e+11
            163    3.99643e+33    6.66108e+11    5.96676e+11
            164    4.72757e+33    6.82642e+11    6.16575e+11
            165    5.58819e+33    6.99412e+11    6.36922e+11
            166    6.60044e+33    7.16419e+11    6.57723e+11
            167    7.79017e+33    7.33662e+11    6.78981e+11
            168    9.18749e+33    7.51143e+11    7.00701e+11
            169    1.08274e+34    7.68861e+11    7.22888e+11
            170    1.27507e+34    7.86816e+11    7.45545e+11
            171    1.50048e+34    8.05008e+11    7.68677e+11
            172    1.76446e+34    8.23438e+11    7.92289e+11
